1.Name of text: LesMiserables_clean.txt
  Total Non-blank Character Count: 2629426
  Total Blank Character Count: 518230
  Total Character Count: 3147656
  Percentage Blank Character: 16.46% 
  Total Word Count: 562208
  Word/Count Dictionary: 
  gone] : 1
  70: : 1
  noise] : 1
  Fafiot : 1
  serieux : 1
  fafiot : 1
  Un : 1
  69: : 1
  Prometheus] : 1
  68: : 1
  mask] : 1
  67: : 1
  children] : 1
  66: : 1
  everyone] : 1
  conch-shell : 1
  65: : 1
  Tirer : 1
  64: : 1
  long] : 1
  ere : 1
  Alcippus : 1
  musings : 1
  hemming : 1
  63: : 1
  unmarried] : 1
  coiffer : 1
  62: : 1
  rogue] : 1
  shepherd's : 1
  61: : 1
  break-necks] : 1
  break: : 1
  casser : 1
  60: : 1
  Mustards] : 1
  59: : 1
  Tiber] : 1
  Steps : 1
  58: : 1
  unglued] : 1
  furbelows : 1
  crutches : 1
  skittles : 1
  57: : 1
  la] : 1
  lon : 1
  thyself : 1
  deckest : 1
  crownest : 1
  gleamest : 1
  mantillas : 1
  bickerings : 1
  pratest : 1
  Went : 1
  slanders : 1
  56: : 1
  letters] : 1
  55: : 1
  co-cocorico] : 1
  54: : 1
  depths] : 1
  heavenly : 1
  deathly : 1
  wentest : 1
  centime's : 1
  tulips; : 1
  stammers : 1
  gauze : 1
  forego : 1
  gavest : 1
  spring-like : 1
  Tender : 1
  bewitched : 2
  briefless : 1
  thunderbolts : 1
  Fair : 1
  53: : 1
  Toulouse] : 1
  52: : 1
  feathers--pen] : 1
  biped : 1
  plume: : 1
  Bipede : 1
  51: : 1
  dare] : 1
  Treat : 1
  50: : 1
  rabbits] : 1
  stewed : 1
  Gibelotte: : 1
  culinary : 1
  Matelote: : 1
  49: : 1
  mouth] : 2
  frightens : 1
  48: : 1
  himself] : 1
  47: : 1
  Charlotte] : 1
  vineyard; : 1
  thrushes : 1
  half-farthing : 1
  46: : 1
  trigger] : 1
  Chien : 1
  45: : 1
  hat] : 1
  tutu : 1
  apocryphal : 1
  flurried : 1
  44: : 1
  lui-meme] : 1
  agite : 1
  criblant : 1
  locher : 1
  momignards : 1
  momes : 1
  atiger : 1
  peut : 1
  orgues : 1
  daron : 1
  dail : 1
  n'entrave : 1
  43: : 1
  asleep] : 1
  42: : 1
  son] : 1
  41: : 1
  libertise] : 1
  raisons : 1
  foultitude : 1
  potains-la : 1
  trouverez : 1
  40: : 1
