1.Name of text: TaleOfTwoCities_clean.txt
  Total Non-blank Character Count: 616151
  Total Blank Character Count: 123425
  Total Character Count: 739576
  Percentage Blank Character: 16.69% 
  Total Word Count: 135597
  Word/Count Dictionary: 
  disfigurement--and : 1
  place--then : 1
  blots : 1
  path : 1
  anniversary : 1
  reward : 1
  enriching : 1
  years' : 1
  healing : 1
  wearing : 1
  expiation : 1
  defeats : 1
  struggles : 1
  abyss : 1
  brilliant : 1
  perishing : 1
  ranks : 1
  these: : 1
  woman--had : 1
  axe--a : 1
  sufferers : 1
  peacefullest : 1
  Twenty-Three : 1
  flashes : 1
  swells : 1
  outskirts : 1
  upturning : 1
  Resurrection : 1
  Twenty-Two : 1
  him--is : 1
  releases : 1
  hers; : 1
  kisses : 2
  mercifully : 1
  uncomplaining : 1
  think: : 1
  time: : 1
  this:--If : 1
  yes: : 1
  write--and : 1
  fate--for : 1
  Poverty : 1
  cousin : 1
  me--just : 1
  Brave : 1
  repair : 1
  differing : 1
  Universal : 1
  fast-thinning : 1
  Fear : 1
  whirrs : 1
  crashing : 1
  promised : 1
  Crash--And : 1
  empties : 1
  knitting-women : 3
  Crash--A : 1
  robed : 1
  elevation : 1
  vexation : 1
  wink : 1
  Fortune : 1
  Bad : 1
  wills : 1
  Send : 1
  recommends : 1
  Louder : 3
  petulantly : 1
  knitting-woman : 1
  fore-most : 2
  passes : 1
  crumble : 1
  ridges : 1
  exclaim : 1
  continuing : 1
  forfeit: : 1
  entreats : 1
  aristocrats : 1
  girl's : 1
  clears : 1
  second: : 1
  prison-sheep : 1
  coming-up : 1
  loosely : 1
  shakes : 1
  converse : 1
  abreast : 2
  horsemen : 2
  appeals : 1
  tries : 1
  sings : 1
  pictures : 1
  glances : 1
  heedful : 1
  despair; : 1
  stare; : 1
  cart : 4
  exponent : 1
  authorised : 1
  curator : 1
  complacency : 1
  survey : 1
  onward : 1
  ploughs : 1
  Ridges : 1
  Changeless : 1
  resume : 1
  conjuration : 1
  stories : 1
  Arabian : 1
  seers : 1
  transformations : 1
  majestically : 1
  magician : 1
  huts : 1
  Jezebels : 1
  toilettes : 1
  feudal : 1
  monarchs : 1
  enchanter : 1
  license : 1
  rapacious : 1
  seed : 1
  Sow : 1
  twist : 1
  Crush : 1
  conditions : 1
  maturity : 1
  peppercorn : 1
  sprig : 1
  climate : 1
  fused : 1
  Monsters : 1
  insatiate : 1
  Six : 2
  rumble : 1
  death-carts : 1
  Along : 1
  Die : 1
  lasts : 1
  takin' : 1
  queer : 1
  wot's : 1
  disturbed; : 1
  ruminating : 1
  Gone : 1
  she'll : 1
  replied; : 1
  Arriving : 1
  hands) : 1
  (hastily : 1
  gripping : 1
  disfigurement : 1
  alone--blinded : 1
  dies : 1
  smothered : 1
  encircled : 1
  buffeted : 1
  tenacity : 1
  strike; : 1
  instinct : 1
  odds : 1
  packing : 1
  fool : 1
  Child : 1
  Wife : 1
  emotional : 1
  Twopence : 1
  nonsensical : 1
  explanatory : 1
  pig-like : 1
  imbecile : 1
  Woman : 1
  naught : 1
  detail; : 1
  idiomatic : 1
  splinter : 1
  four-poster : 1
  bed-winches : 1
  deduce : 1
  words; : 1
  other's : 3
  language; : 2
  malevolent : 1
  family's : 2
  wiry : 1
  scornfully : 1
  Englishwoman : 1
  Lucifer : 1
  tamed : 1
  staining : 1
  obscured : 1
  feverish : 1
  laving : 1
  half-imagined : 1
  loneliness : 1
  perturbation : 1
  composing : 1
  nod : 2
  agonised : 1
  exordium : 1
  Think-not : 1
  o'Clock : 1
  locality : 1
  esteemed : 1
  said; : 2
  impressively : 1
  protracted : 1
  for-_bid_ : 1
  Wot : 2
  conwenient) : 1
  anyways : 1
  creeturs : 1
  wisited : 1
  slowness : 1
  solemnity : 1
  Forbid : 3
  opinions : 1
  yourself--that : 1
  pulpit--and : 1
  darlings : 1
  superintendence--O : 1
  Second: : 1
  named : 1
  wows : 1
  promises : 1
  spear : 1
  Respectin' : 2
  plan : 2
  forming : 2
  Likewise : 1
  consultation : 1
  else-deserted : 1
  concluding : 1
  tortures : 1
  emergency : 1
  facilitate : 1
  overtake : 1
  Unencumbered : 1
  conveyance : 1
  lightest-wheeled : 1
  saving : 1
  utmost; : 1
  examining : 1
  overloading : 1
  planned : 1
  completion : 1
  sea-sand : 1
  bare-legged : 1
  bare-foot : 1
  girlhood : 1
  supple : 1
  accoutred : 1
  dagger : 1
  Lying : 2
  Carelessly : 1
  robe : 2
  herself; : 2
  encounters : 1
  orphan; : 1
  forefathers; : 1
  sins : 1
  tigress : 1
  inveterate : 1
  imbued : 1
  heaved : 1
  qualities; : 1
  possessor : 1
  fearless : 1
  ruthless : 1
  endowments : 1
  imply : 1
  alacrity : 1
