1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  feel; : 1
  unreal : 1
  feel) : 1
  earth's : 1
  personality--free : 1
  immovability : 1
  strengthens : 1
  uninvited : 1
  defenders : 2
  Nun : 1
  Joshua : 1
  firmament : 1
  provokes : 1
  subverting : 1
  violating : 1
  Theology : 1
  geology : 1
  philology : 1
  ethnographic : 1
  geographic : 1
  retained; : 1
  migrations : 3
  births : 1
  Ptolemaic : 2
  disproving : 2
  cosmography : 1
  Copernicus : 4
  interconnected : 1
  inseparably : 1
  episodes : 1
  sciences: : 1
  attraction; : 1
  enunciated : 1
  Abandoning : 1
  quantities : 1
  integration : 1
  abandons : 1
  infinitesimals : 1
  phenomena--the : 1
  dissecting : 2
  which--ever : 1
  self-destruction : 1
  inaccessibility : 1
  infinitesimal : 2
  reducing : 1
  restricted : 1
  enunciation : 1
  freewill : 1
  negatived : 1
  Newton : 3
  Kepler : 1
  defines : 1
  Free : 1
  Vital : 1
  botany : 1
  astronomy : 8
  undefinable : 3
  grow; : 1
  differs : 3
  laws) : 1
  economic : 3
  law) : 1
  Newton's : 1
  gravitation : 5
  concepts : 1
  cognition : 1
  Inevitability : 3
  Freedom : 4
  Consciousness : 2
  visibility : 1
  Reason : 2
  constructed--the : 1
  fundamentals : 1
  unconditioned : 2
  idiot--complete : 1
  babe : 1
  unborn : 1
  case--as : 1
  finite : 1
  influencing : 2
  uninfluenced : 1
  zero : 2
  equaled : 1
  cause--we : 1
  unevoked : 1
  if--imagining : 1
  future--that : 1
  abstained : 2
  irrevocably : 1
  fewest : 1
  obstruction : 1
  free; : 1
  surrounds : 2
  exempt : 2
  be--can : 1
  case--however : 1
  remoteness : 1
  extenuating : 1
  irresponsibility : 1
  foretell : 1
  prompting : 1
  simpleton--then : 1
  relapse : 1
  drunkard's : 1
  misconduct : 1
  dishonest : 2
  connect : 1
  correlation : 1
  impresses : 1
  inventor : 1
  founder : 1
  deserving : 1
  gratuitous : 1
  mitigates : 1
  factors : 1
  insistent : 1
  individuality : 1
  act; : 1
  nonmoral : 1
  psychological : 2
  physiological : 2
  causation : 2
  apprehend : 1
  Attila's : 1
  renovation : 1
  chroniclers : 1
  heroes' : 1
  questionably : 1
  Austro-Prussian : 1
  participants : 1
  essential--would : 1
  it--good : 1
  production : 1
  diminishes : 2
  him--we : 1
  breathes : 1
  whatever-- : 1
  populated : 1
  coexisting : 1
  correspondingly : 1
  harmlessly : 1
  peaceably : 1
  man-- : 1
  defenseless : 1
  steals : 1
  drowns : 1
  varies : 1
  barbarians : 1
  incursions : 1
  cognizant : 1
  deduce : 1
  ranging : 1
  surveys : 1
  presentation : 3
  experimental : 2
  unbuttressed : 1
  woodwork : 1
  access : 1
  plasterers : 2
  rabbit : 1
  frog : 1
  origin); : 1
  necessity; : 1
  theories--that : 1
  secretions : 1
  illumination : 1
  religions : 1
  zoology : 3
  comparative : 3
  physiology : 2
  suspecting : 1
  apes : 2
  nerves; : 1
  conditioned : 2
  naturalists : 2
  ignoramuses--have : 1
  people--that : 1
  matter--has : 1
  knowledge-- : 1
  popularization : 1
  regarded--as : 1
  ethics : 2
  statistics : 2
  theology : 4
  all-seeing : 1
  all-good : 1
  thinkers : 2
  uncontrolled : 1
  repletion : 1
  Wealth : 1
  freedom) : 1
  incontestably : 1
  impermeability : 1
  resists : 1
  submits : 2
  self-consciousness : 1
  limitation : 1
  never- : 1
  (whether : 1
  recognize) : 1
  life--man : 1
  will--which : 1
  self-cognition : 1
  exists) : 1
  (like : 1
  philosophic--we : 1
  ethical : 1
  view--theological : 1
  obscurities : 1
  suffice : 1
  applies : 1
  Atoms : 1
  electricity : 5
  Electricity : 1
  infinity--that : 1
  inapplicable : 1
  wielder : 1
  Morally : 1
  Arriving : 2
  may-- : 1
  occurs--be : 1
  Examining : 1
  ship's : 1
  foams : 1
  anticipating : 1
  occurs--the : 1
  cuts : 1
  parliaments : 1
  crimes--make : 1
  front: : 1
  centralization : 1
  justifications : 5
  concourse : 2
  activity; : 1
  primary : 1
  haul : 2
  Restoring : 1
  are; : 1
  participate : 2
  sections : 1
  contiguous : 1
  activity--in : 1
  objective : 1
  fewer) : 1
  hacking : 1
  stabbing : 1
  apex : 1
  file; : 1
  diameter : 1
  cone : 4
  organization : 2
  still-higher : 1
  rank--corporals : 1
  number; : 1
  file--of : 1
  service--the : 1
  following: : 1
  reinstate : 1
  stencil : 2
  out--not : 1
  indefinitely : 1
  invaded : 1
  invade : 1
  generalized : 2
  unexecuted : 4
  obstacles : 3
  participated : 1
  expressed)--this : 1
  on--millions : 1
  Petersburg; : 1
  refers : 1
  occurrences; : 1
  Reinstating : 1
  place: : 1
  restore: : 1
  Divinity : 1
  relationship : 1
  miracle--one : 1
  force--a : 1
  words--are : 1
  will-- : 1
  Experience : 1
  Bismarck : 2
  Mexico : 1
  verifies : 1
  power: : 1
  restatement : 1
  paraphrase--a : 1
  rear) : 1
  prefers : 1
  observer : 1
  (With : 1
  unconditional : 1
  say--those : 1
  vested : 1
  pasturage : 1
  verified : 1
  begins--that : 1
  occur--that : 1
  unconfirmed : 1
  hypothesis : 1
  transference : 5
  newest : 1
  guillotined : 1
  Reformation : 1
  books; : 1
  things; : 1
  Luther : 1
  reformer : 1
  Minnesingers : 3
  Land; : 1
  Popes : 1
  Jerusalem--had : 1
  Crusade--the : 1
  cessation : 1
  Hermit : 1
  vagrants : 1
  Godfreys : 4
  Crusades : 3
  Kurbski : 1
  Beaumarchais : 1
  Diderot : 1
  enlighteners : 1
  popes : 1
  generalization : 2
  Postulating : 1
  generalizations : 1
  conceivable : 3
  impalpable : 1
  Met : 1
  nonsense; : 1
  represents : 1
  Historians : 1
  cotyledons : 1
  usurpations : 1
  ill-directed : 1
  transferences : 1
  conquests--are : 1
  history--civil : 1
  delegations : 1
  Philippe : 1
  reactions : 1
  XV--why : 1
  react : 2
  reacted : 1
  XIV's : 1
  tranquilly : 1
  exists--the : 1
  -or : 1
  program- : 1
  nation's : 3
  delegation : 1
  Recognizing : 1
  violations : 1
  prove: : 1
  infringers : 1
  Directory : 2
  Convention : 3
  National : 1
  Legitimist : 1
  another--that : 1
  inconvenience--in : 1
  power--mere : 1
  violation : 2
  to--in : 1
  biographical : 1
  historians--those : 1
  delegated : 4
  destructions : 1
  conditionally : 4
  infringement : 1
  emergence : 1
  unconditionally : 2
  Confederation : 1
  international : 2
  part--transfer : 1
  revolutions--in : 1
  mutations : 1
  time--is : 1
  power-- : 1
  fire--namely : 1
  clear; : 1
  wields : 1
  elsewhere--in : 1
  differ : 1
  predominance : 1
  Hercules; : 1
  domination : 1
  one-- : 1
  destroyed; : 1
  things: : 1
  readers : 1
  currency : 1
  counters : 1
  evade : 1
  serviceable : 1
  tokens : 1
  Paper : 1
  specific : 1
  this--that : 1
  inquires: : 1
  tinge : 1
  Thiers' : 1
  circulate : 1
  biographies : 2
  circulation--paper : 1
  humanity's : 4
  professedly : 1
  compelling : 1
  Voltaires : 1
  Luthers : 1
  Alexanders : 1
  wheels; : 1
  locomotive; : 1
  incommensurate : 1
  commensurate : 2
  round; : 1
  refutes : 1
  refute : 1
  irrefutable : 4
  asserts : 1
  asks: : 1
  power--and : 1
  doctrines : 1
  approximate : 2
  tend : 1
  something) : 1
  intrinsic : 1
  history) : 1
  agriculturists : 1
  traders : 2
  gardening : 1
  handicraft : 1
  contemporaneously : 1
  Undoubtedly : 1
  nexus : 1
  causal : 1
  event; : 2
  occurred; : 1
  idea--is : 1
  force--the : 1
  newer : 1
  unanswered : 1
  idea--history's : 1
  filled--admitting : 1
  controls : 2
  progenitors : 1
  culture--in : 1
  events--again : 1
  culture-- : 1
  historians--the : 1
  weather: : 1
  Peasants : 1
  denied--and : 1
  A--the : 1
  resulted--that : 1
  interactions : 1
  rest--but : 1
  components: : 1
  decomposes : 1
  will--such : 1
  Specialist : 1
  components : 3
  composite : 1
  component : 2
  analysis : 3
  Schlosser : 1
  Gervinus : 2
